episode: 0, score: 44, epsilon: 0.481927, Rewards: -456.0
episode: 1, score: 1, epsilon: 0.463023, Rewards: -500.0
episode: 2, score: 1, epsilon: 0.444861, Rewards: -500.0
episode: 3, score: 1, epsilon: 0.427411, Rewards: -500.0
episode: 4, score: 1, epsilon: 0.410645, Rewards: -500.0
episode: 5, score: 1, epsilon: 0.394537, Rewards: -500.0
episode: 6, score: 64, epsilon: 0.380886, Rewards: -436.0
episode: 7, score: 1, epsilon: 0.365945, Rewards: -500.0
episode: 8, score: 283, epsilon: 0.359558, Rewards: -217.0
episode: 9, score: 99, epsilon: 0.347951, Rewards: -401.0
episode: 10, score: 1, epsilon: 0.334303, Rewards: -500.0
episode: 11, score: 147, epsilon: 0.324808, Rewards: -353.0
episode: 12, score: 206, epsilon: 0.317103, Rewards: -294.0
episode: 13, score: 104, epsilon: 0.307112, Rewards: -396.0
episode: 14, score: 221, epsilon: 0.300307, Rewards: -279.0
episode: 15, score: 1, epsilon: 0.288527, Rewards: -500.0
episode: 16, score: 185, epsilon: 0.281231, Rewards: -315.0
episode: 17, score: 1, epsilon: 0.2702, Rewards: -500.0
episode: 18, score: 110, epsilon: 0.261687, Rewards: -390.0
episode: 19, score: 136, epsilon: 0.254052, Rewards: -364.0
episode: 20, score: 296, epsilon: 0.249817, Rewards: -204.0
episode: 21, score: 247, epsilon: 0.244673, Rewards: -253.0
episode: 22, score: 229, epsilon: 0.239251, Rewards: -271.0
episode: 23, score: 118, epsilon: 0.231899, Rewards: -382.0
episode: 24, score: 256, epsilon: 0.227305, Rewards: -244.0
episode: 25, score: 264, epsilon: 0.222981, Rewards: -236.0
episode: 26, score: 1, epsilon: 0.214234, Rewards: -500.0
episode: 27, score: 151, epsilon: 0.208316, Rewards: -349.0
episode: 28, score: 80, epsilon: 0.201269, Rewards: -420.0
episode: 29, score: 63, epsilon: 0.194305, Rewards: -437.0
episode: 30, score: 230, epsilon: 0.189999, Rewards: -270.0
episode: 31, score: 215, epsilon: 0.18564, Rewards: -285.0
episode: 32, score: 143, epsilon: 0.180368, Rewards: -357.0
episode: 33, score: 140, epsilon: 0.175105, Rewards: -360.0
episode: 34, score: 1, epsilon: 0.168237, Rewards: -500.0
episode: 35, score: 1, epsilon: 0.161638, Rewards: -500.0
episode: 36, score: 208, epsilon: 0.157803, Rewards: -292.0
episode: 37, score: 1, epsilon: 0.151613, Rewards: -500.0
episode: 38, score: 137, epsilon: 0.147189, Rewards: -363.0
episode: 39, score: 290, epsilon: 0.14462, Rewards: -210.0
episode: 40, score: 1, epsilon: 0.138947, Rewards: -500.0
episode: 41, score: 263, epsilon: 0.136304, Rewards: -237.0
episode: 42, score: 1, epsilon: 0.130957, Rewards: -500.0
episode: 43, score: 1, epsilon: 0.12582, Rewards: -500.0
episode: 44, score: 1, epsilon: 0.120885, Rewards: -500.0
episode: 45, score: 196, epsilon: 0.117923, Rewards: -304.0
episode: 46, score: 1, epsilon: 0.113297, Rewards: -500.0
episode: 47, score: 14, epsilon: 0.10894, Rewards: -486.0
episode: 48, score: 1, epsilon: 0.104667, Rewards: -500.0
episode: 49, score: 318, epsilon: 0.103087, Rewards: -182.0
episode: 50, score: 1, epsilon: 0.0990436, Rewards: -500.0
episode: 51, score: 1, epsilon: 0.0951585, Rewards: -500.0
episode: 52, score: 156, epsilon: 0.09253, Rewards: -344.0
episode: 53, score: 304, epsilon: 0.0910607, Rewards: -196.0
episode: 54, score: 1, epsilon: 0.0874888, Rewards: -500.0
episode: 55, score: 1, epsilon: 0.084057, Rewards: -500.0
episode: 56, score: 1, epsilon: 0.0807598, Rewards: -500.0
episode: 57, score: 1, epsilon: 0.0775919, Rewards: -500.0
episode: 58, score: 1, epsilon: 0.0745483, Rewards: -500.0
episode: 59, score: 1, epsilon: 0.071624, Rewards: -500.0
episode: 60, score: 52, epsilon: 0.0690904, Rewards: -448.0
episode: 61, score: 1, epsilon: 0.0663803, Rewards: -500.0
episode: 62, score: 1, epsilon: 0.0637765, Rewards: -500.0
episode: 63, score: 1, epsilon: 0.0612748, Rewards: -500.0
episode: 64, score: 1, epsilon: 0.0588712, Rewards: -500.0
episode: 65, score: 1, epsilon: 0.0565619, Rewards: -500.0
episode: 66, score: 1, epsilon: 0.0543432, Rewards: -500.0
episode: 67, score: 1, epsilon: 0.0522116, Rewards: -500.0
episode: 68, score: 1, epsilon: 0.0501635, Rewards: -500.0
episode: 69, score: 1, epsilon: 0.0481958, Rewards: -500.0
episode: 70, score: 1, epsilon: 0.0463053, Rewards: -500.0
episode: 71, score: 1, epsilon: 0.0444889, Rewards: -500.0
episode: 72, score: 1, epsilon: 0.0427438, Rewards: -500.0
episode: 73, score: 1, epsilon: 0.0410671, Rewards: -500.0
episode: 74, score: 1, epsilon: 0.0394562, Rewards: -500.0
episode: 75, score: 1, epsilon: 0.0379085, Rewards: -500.0
episode: 76, score: 1, epsilon: 0.0364215, Rewards: -500.0
episode: 77, score: 1, epsilon: 0.0349929, Rewards: -500.0
episode: 78, score: 1, epsilon: 0.0336202, Rewards: -500.0
episode: 79, score: 1, epsilon: 0.0323015, Rewards: -500.0
episode: 80, score: 1, epsilon: 0.0310344, Rewards: -500.0
episode: 81, score: 1, epsilon: 0.029817, Rewards: -500.0
episode: 82, score: 1, epsilon: 0.0286474, Rewards: -500.0
episode: 83, score: 1, epsilon: 0.0275237, Rewards: -500.0
episode: 84, score: 1, epsilon: 0.0264441, Rewards: -500.0
episode: 85, score: 1, epsilon: 0.0254068, Rewards: -500.0
episode: 86, score: 1, epsilon: 0.0244102, Rewards: -500.0
episode: 87, score: 1, epsilon: 0.0234527, Rewards: -500.0
episode: 88, score: 1, epsilon: 0.0225327, Rewards: -500.0
episode: 89, score: 1, epsilon: 0.0216488, Rewards: -500.0
episode: 90, score: 1, epsilon: 0.0207996, Rewards: -500.0
episode: 91, score: 1, epsilon: 0.0199838, Rewards: -500.0
episode: 92, score: 1, epsilon: 0.0191999, Rewards: -500.0
episode: 93, score: 1, epsilon: 0.0184467, Rewards: -500.0
episode: 94, score: 1, epsilon: 0.0177232, Rewards: -500.0
episode: 95, score: 1, epsilon: 0.0170279, Rewards: -500.0
